concept,layer,target_class,mean_sign_count,std_sign_count,p_value,corrected_alpha,significant,direction,n_trials
low_pitch_register,classifier.1,rock,0.5240199846495444,0.1343572736053691,0.5856561730121546,0.0003787878787878788,False,not_significant,10
low_pitch_register,classifier.1,traditional,0.3160000006471362,0.18807631046994758,0.012851656920372318,0.0003787878787878788,False,not_significant,10
low_pitch_register,classifier.2,classical,0.8,0.42163702135578396,0.05100326070695079,0.0003787878787878788,False,not_significant,10
low_pitch_register,classifier.2,country,0.6,0.5163977794943223,0.5554454421055854,0.0003787878787878788,False,not_significant,10
low_pitch_register,classifier.2,jazz,0.1,0.31622776601683794,0.0031104283103858543,0.0003787878787878788,False,not_significant,10
low_pitch_register,classifier.2,pop,0.1,0.31622776601683794,0.0031104283103858543,0.0003787878787878788,False,not_significant,10
low_pitch_register,classifier.2,rock,0.6,0.5163977794943223,0.5554454421055854,0.0003787878787878788,False,not_significant,10
low_pitch_register,classifier.2,traditional,0.0,0.0,,0.0003787878787878788,False,not_significant,10
regular_ioi,classifier.1,classical,0.2526054590823386,0.14999290439007473,0.0005522963782892609,0.0003787878787878788,False,not_significant,10
regular_ioi,classifier.1,country,0.2877816291161178,0.10983605319638755,0.00017709346081919315,0.0003787878787878788,True,negative,10
regular_ioi,classifier.1,jazz,0.22000000000000003,0.16094024810532953,0.0003793726921670764,0.0003787878787878788,False,not_significant,10
regular_ioi,classifier.1,pop,0.5401050081401342,0.1287527600889202,0.35035577124278355,0.0003787878787878788,False,not_significant,10
regular_ioi,classifier.1,rock,0.6329362029345744,0.1503141164695097,0.020825128494226675,0.0003787878787878788,False,not_significant,10
regular_ioi,classifier.1,traditional,0.6757142873150961,0.10742291484731312,0.0005851096940369604,0.0003787878787878788,False,not_significant,10
regular_ioi,classifier.2,classical,0.2,0.42163702135578396,0.05100326070695086,0.0003787878787878788,False,not_significant,10
regular_ioi,classifier.2,country,0.1,0.31622776601683794,0.0031104283103858543,0.0003787878787878788,False,not_significant,10
regular_ioi,classifier.2,jazz,0.2,0.42163702135578396,0.05100326070695086,0.0003787878787878788,False,not_significant,10
regular_ioi,classifier.2,pop,0.9,0.31622776601683794,0.0031104283103858543,0.0003787878787878788,False,not_significant,10
regular_ioi,classifier.2,rock,0.0,0.0,,0.0003787878787878788,False,not_significant,10
