concept,layer,target_class,mean_sign_count,std_sign_count,p_value,corrected_alpha,significant,direction,n_trials,effect,abs_effect,signed_effect_label
long_notes,classifier.2,jazz,0.3,0.4830458915396479,0.2228683501335199,0.0003787878787878,False,not_significant,10,-0.2,0.2,not_significant
long_notes,classifier.2,pop,0.4,0.5163977794943223,0.5554454421055854,0.0003787878787878,False,not_significant,10,-0.09999999999999998,0.09999999999999998,not_significant
long_notes,classifier.2,rock,0.2,0.4216370213557839,0.0510032607069508,0.0003787878787878,False,not_significant,10,-0.3,0.3,not_significant
long_notes,classifier.2,traditional,0.9,0.3162277660168379,0.0031104283103858,0.0003787878787878,False,not_significant,10,0.4,0.4,not_significant
low_note_density,classifier.1,classical,0.8980976013480582,0.0975583218669265,4.137963407780928e-07,0.0003787878787878,True,positive,10,0.39809760134805816,0.39809760134805816,supports_class
low_note_density,classifier.1,country,0.5713604852686307,0.1446011420945949,0.153055401474949,0.0003787878787878,False,not_significant,10,0.0713604852686307,0.0713604852686307,not_significant
low_note_density,classifier.1,jazz,0.1501298701298701,0.0999999062985636,1.533184779927721e-06,0.0003787878787878,True,negative,10,-0.3498701298701299,0.3498701298701299,opposes_class
low_note_density,classifier.1,pop,0.2602584814589609,0.1969993875149185,0.003915981036123,0.0003787878787878,False,not_significant,10,-0.2397415185410391,0.2397415185410391,not_significant
low_note_density,classifier.1,rock,0.5947732513817707,0.1892378570628818,0.1477181960185296,0.0003787878787878,False,not_significant,10,0.09477325138177073,0.09477325138177073,not_significant
low_note_density,classifier.1,traditional,0.6225714294910432,0.08596207617158,0.0014697725589664,0.0003787878787878,False,not_significant,10,0.12257142949104316,0.12257142949104316,not_significant
low_note_density,classifier.2,classical,1.0,0.0,,0.0003787878787878,False,not_significant,10,0.5,0.5,not_significant
low_note_density,classifier.2,country,0.9,0.3162277660168379,0.0031104283103858,0.0003787878787878,False,not_significant,10,0.4,0.4,not_significant
low_note_density,classifier.2,jazz,1.0,0.0,,0.0003787878787878,False,not_significant,10,0.5,0.5,not_significant
low_note_density,classifier.2,pop,0.3,0.4830458915396479,0.2228683501335199,0.0003787878787878,False,not_significant,10,-0.2,0.2,not_significant
low_note_density,classifier.2,rock,1.0,0.0,,0.0003787878787878,False,not_significant,10,0.5,0.5,not_significant
low_note_density,classifier.2,traditional,1.0,0.0,,0.0003787878787878,False,not_significant,10,0.5,0.5,not_significant
low_pitch_register,classifier.1,classical,0.7719602978234453,0.1996658091939517,0.001969559378018,0.0003787878787878,False,not_significant,10,0.27196029782344533,0.27196029782344533,not_significant
low_pitch_register,classifier.1,country,0.6868284228769499,0.0865175106218875,7.654044367218721e-05,0.0003787878787878,True,positive,10,0.1868284228769499,0.1868284228769499,supports_class
low_pitch_register,classifier.1,jazz,0.3072077922077922,0.1390033279774563,0.0017558444656819,0.0003787878787878,False,not_significant,10,-0.1927922077922078,0.1927922077922078,not_significant
low_pitch_register,classifier.1,pop,0.2818255250632571,0.1828891353040151,0.0044002721646349,0.0003787878787878,False,not_significant,10,-0.2181744749367429,0.2181744749367429,not_significant
low_pitch_register,classifier.1,rock,0.5240199846495444,0.1343572736053691,0.5856561730121546,0.0003787878787878,False,not_significant,10,0.024019984649544357,0.024019984649544357,not_significant
